model,device,threads,iters,warmup,input_shape,mean_ms,p50_ms,p95_ms,fps,rss_mb
resnet18,cpu,1,200,20,"(1, 3, 224, 224)",77.4960,77.2441,78.1409,12.9039,456.25
mobilenet_v2,cpu,1,200,20,"(1, 3, 224, 224)",71.7685,72.0179,73.0559,13.9337,420.94
